"","borough","neighborhood","building.class.category","tax.class.at.present","block","lot","ease.ment","building.class.at.present","address","apartment.number","zip.code","residential.units","commercial.units","total.units","land.square.feet","gross.square.feet","year.built","tax.class.at.time.of.sale","building.class.at.time.of.sale","sale.price","sale.date","sale.price.n","gross.sqft","land.sqft"
"6664",4,"FLUSHING-NORTH           ","01  ONE FAMILY DWELLINGS                    ","1",5571,24,NA,"A1","49-11 167TH   STREET                     ","            ",11365,1,0,1,4000,1456,1945,1,"A1","$ 700,000","2015-11-17",7e+05,1456,4000
"6665",4,"FLUSHING-NORTH           ","01  ONE FAMILY DWELLINGS                    ","1",5571,36,NA,"A1","49-08 168 STREET                         ","            ",11365,1,0,1,4000,1456,1945,1,"A1","$ 760,000","2015-11-23",760000,1456,4000
"6666",4,"FLUSHING-NORTH           ","01  ONE FAMILY DWELLINGS                    ","1",5572,66,NA,"A1","49-40 169TH   STREET                     ","            ",11365,1,0,1,4000,1917,1950,1,"A1","$ 930,000","2016-03-31",930000,1917,4000
"6667",4,"FLUSHING-NORTH           ","01  ONE FAMILY DWELLINGS                    ","1",5572,68,NA,"A0","49-44 169TH   STREET                     ","            ",11365,1,0,1,4000,945,1950,1,"A0","$ 615,000","2015-05-08",615000,945,4000
"6668",4,"FLUSHING-NORTH           ","01  ONE FAMILY DWELLINGS                    ","1",5575,12,NA,"A2","170-04 PIDGEON MEADOW ROAD               ","            ",11365,1,0,1,4962,950,1945,1,"A2","$ 765,000","2016-04-12",765000,950,4962
"6669",4,"FLUSHING-NORTH           ","01  ONE FAMILY DWELLINGS                    ","1",5576,18,NA,"A1","171-16 PIDGEON MEADOW ROAD               ","            ",11365,1,0,1,4000,1923,1955,1,"A1","$ 835,000","2015-09-25",835000,1923,4000
"6671",4,"FLUSHING-NORTH           ","01  ONE FAMILY DWELLINGS                    ","1",5577,78,NA,"A0","170-07 PIDGEON MEADOW ROAD               ","            ",11365,1,0,1,4000,1194,1945,1,"A0","$ 697,800","2015-10-08",697800,1194,4000
"6673",4,"FLUSHING-NORTH           ","01  ONE FAMILY DWELLINGS                    ","1",5584,21,NA,"A1","171-42 BAGLEY AVENUE                     ","            ",11358,1,0,1,3000,1590,1940,1,"A1","$ 774,888","2016-03-10",774888,1590,3000
"6674",4,"FLUSHING-NORTH           ","01  ONE FAMILY DWELLINGS                    ","1",5584,24,NA,"A1","171-48 BAGLEY AVENUE                     ","            ",11358,1,0,1,5000,1542,1940,1,"A1","$ 750,000","2015-10-22",750000,1542,5000
"6675",4,"FLUSHING-NORTH           ","01  ONE FAMILY DWELLINGS                    ","1",5584,31,NA,"A1","46-52 UTOPIA PARKWAY                     ","            ",11358,1,0,1,3533,1774,1940,1,"A1","$ 863,000","2015-10-26",863000,1774,3533
"6676",4,"FLUSHING-NORTH           ","01  ONE FAMILY DWELLINGS                    ","1",5585,25,NA,"A1","173-40 47 AVENUE                         ","            ",11358,1,0,1,4000,2000,1950,1,"A1","$ 900,000","2015-08-24",9e+05,2000,4000
"6677",4,"FLUSHING-NORTH           ","01  ONE FAMILY DWELLINGS                    ","1",5586,25,NA,"A1","173-38 EFFINGTON AVENUE                  ","            ",11358,1,0,1,4000,1817,1950,1,"A1","$ 645,000","2015-06-02",645000,1817,4000
"6679",4,"FLUSHING-NORTH           ","01  ONE FAMILY DWELLINGS                    ","1",5590,22,NA,"A0","175-12 UNDERHILL AVENUE                  ","            ",11365,1,0,1,3440,1045,1940,1,"A0","$ 475,000","2015-09-02",475000,1045,3440
"6680",4,"FLUSHING-NORTH           ","01  ONE FAMILY DWELLINGS                    ","1",5590,26,NA,"A0","175-20 UNDERHILL AVENUE                  ","            ",11365,1,0,1,3900,1295,1940,1,"A0","$ 738,000","2015-10-21",738000,1295,3900
"6681",4,"FLUSHING-NORTH           ","01  ONE FAMILY DWELLINGS                    ","1",5594,3,NA,"A1","50-47 175TH STREET                       ","            ",11365,1,0,1,4000,2184,1950,1,"A1","$ 950,000","2015-09-02",950000,2184,4000
"6683",4,"FLUSHING-NORTH           ","01  ONE FAMILY DWELLINGS                    ","1",5597,5,NA,"A2","56-31 174TH STREET                       ","            ",11365,1,0,1,4000,1170,1950,1,"A2","$ 743,888","2015-09-11",743888,1170,4000
"6685",4,"FLUSHING-NORTH           ","01  ONE FAMILY DWELLINGS                    ","1",5602,28,NA,"A5","46-09 189TH STREET                       ","            ",11358,1,0,1,3845,1224,1950,1,"A5","$ 740,000","2016-02-17",740000,1224,3845
"6686",4,"FLUSHING-NORTH           ","01  ONE FAMILY DWELLINGS                    ","1",5603,9,NA,"A1","46-25 190TH   STREET                     ","            ",11358,1,0,1,3064,1557,1925,1,"A1","$ 650,000","2015-08-27",650000,1557,3064
"6688",4,"FLUSHING-NORTH           ","01  ONE FAMILY DWELLINGS                    ","1",5604,6,NA,"A1","47-53 UTOPIA PARKWAY                     ","            ",11358,1,0,1,4532,1664,1925,1,"A1","$ 786,000","2015-10-23",786000,1664,4532
"6689",4,"FLUSHING-NORTH           ","01  ONE FAMILY DWELLINGS                    ","1",5605,15,NA,"A1","47-31 187 STREET                         ","            ",11358,1,0,1,4000,1352,1940,1,"A1","$ 670,000","2016-01-27",670000,1352,4000
"6694",4,"FLUSHING-NORTH           ","01  ONE FAMILY DWELLINGS                    ","1",5606,31,NA,"A5","47-01 188TH STREET                       ","            ",11358,1,0,1,2017,1600,1945,1,"A5","$ 770,000","2015-10-27",770000,1600,2017
"6695",4,"FLUSHING-NORTH           ","01  ONE FAMILY DWELLINGS                    ","1",5606,33,NA,"A5","47-02 189TH   STREET                     ","            ",11358,1,0,1,2000,1440,1945,1,"A5","$ 645,000","2016-04-04",645000,1440,2000
"6696",4,"FLUSHING-NORTH           ","01  ONE FAMILY DWELLINGS                    ","1",5606,35,NA,"A5","4706 189TH   STREET                      ","            ",11358,1,0,1,2000,1230,1945,1,"A5","$ 10","2015-07-08",10,1230,2000
"6700",4,"FLUSHING-NORTH           ","01  ONE FAMILY DWELLINGS                    ","1",5608,21,NA,"A1","47-26 192ND STREET                       ","            ",11358,1,0,1,5000,1614,1930,1,"A1","$ 873,000","2015-11-02",873000,1614,5000
"6702",4,"FLUSHING-NORTH           ","01  ONE FAMILY DWELLINGS                    ","1",5613,66,NA,"A1","47-54 195TH STREET                       ","            ",11358,1,0,1,3000,1800,1980,1,"A1","$ 870,000","2016-03-31",870000,1800,3000
"6704",4,"FLUSHING-NORTH           ","01  ONE FAMILY DWELLINGS                    ","1",5616,30,NA,"A1","196-32 47TH AVE                          ","            ",11358,1,0,1,4030,1404,1950,1,"A1","$ 828,000","2015-09-25",828000,1404,4030
"6706",4,"FLUSHING-NORTH           ","01  ONE FAMILY DWELLINGS                    ","1",5618,6,NA,"A5","47-51 198 STREET                         ","            ",11358,1,0,1,1800,1690,1950,1,"A5","$ 598,800","2015-11-24",598800,1690,1800
"6708",4,"FLUSHING-NORTH           ","01  ONE FAMILY DWELLINGS                    ","1",5622,66,NA,"A1","48-78 187TH STREET                       ","            ",11365,1,0,1,4000,2212,1955,1,"A1","$ 988,000","2016-04-07",988000,2212,4000
"6709",4,"FLUSHING-NORTH           ","01  ONE FAMILY DWELLINGS                    ","1",5622,74,NA,"A1","48-65 186TH STREET                       ","            ",11365,1,0,1,4000,1672,1955,1,"A1","$ 695,000","2015-11-18",695000,1672,4000
"6710",4,"FLUSHING-NORTH           ","01  ONE FAMILY DWELLINGS                    ","1",5623,70,NA,"A2","48-86 188TH STREET                       ","            ",11365,1,0,1,4000,836,1940,1,"A2","$ 705,000","2015-11-16",705000,836,4000
"6713",4,"FLUSHING-NORTH           ","01  ONE FAMILY DWELLINGS                    ","1",5624,5,NA,"A2","48-45 188TH STREET                       ","            ",11365,1,0,1,4000,836,1940,1,"A2","$ 672,000","2016-04-13",672000,836,4000
"6715",4,"FLUSHING-NORTH           ","01  ONE FAMILY DWELLINGS                    ","1",5625,30,NA,"A2","48-46 190TH   STREET                     ","            ",11365,1,0,1,4800,1338,1940,1,"A2","$ 700,000","2016-02-24",7e+05,1338,4800
"6716",4,"FLUSHING-NORTH           ","01  ONE FAMILY DWELLINGS                    ","1",5625,70,NA,"A2","48-25 189TH STREET                       ","            ",11365,1,0,1,4000,1121,1945,1,"A2","$ 735,000","2016-03-10",735000,1121,4000
"6717",4,"FLUSHING-NORTH           ","01  ONE FAMILY DWELLINGS                    ","1",5626,6,NA,"A0","4804 192ND ST                            ","            ",11365,1,0,1,4800,1318,1945,1,"A0","$ 766,534","2015-10-29",766534,1318,4800
"6718",4,"FLUSHING-NORTH           ","01  ONE FAMILY DWELLINGS                    ","1",5626,10,NA,"A0","48-12 192ND   STREET                     ","            ",11365,1,0,1,4700,1318,1950,1,"A0","$ 824,000","2015-10-27",824000,1318,4700
"6719",4,"FLUSHING-NORTH           ","01  ONE FAMILY DWELLINGS                    ","1",5626,46,NA,"A2","190-07 50TH   AVENUE                     ","            ",11365,1,0,1,4694,1121,1945,1,"A2","$ 740,000","2015-07-31",740000,1121,4694
"6720",4,"FLUSHING-NORTH           ","01  ONE FAMILY DWELLINGS                    ","1",5628,11,NA,"A0","48-23 193RD STREET                       ","            ",11365,1,0,1,4000,1080,1955,1,"A0","$ 650,000","2015-08-05",650000,1080,4000
"6722",4,"FLUSHING-NORTH           ","01  ONE FAMILY DWELLINGS                    ","1",5628,35,NA,"A2","48-20 194TH STREET                       ","            ",11365,1,0,1,4000,1757,1940,1,"A2","$ 770,000","2016-01-22",770000,1757,4000
"6723",4,"FLUSHING-NORTH           ","01  ONE FAMILY DWELLINGS                    ","1",5629,11,NA,"A1","194-09 50TH   AVENUE                     ","            ",11365,1,0,1,4290,1508,1960,1,"A1","$ 720,000","2015-08-04",720000,1508,4290
"6724",4,"FLUSHING-NORTH           ","01  ONE FAMILY DWELLINGS                    ","1",5631,26,NA,"A1","48-03 195TH STREET                       ","            ",11365,1,0,1,4000,2010,1940,1,"A1","$ 835,000","2015-11-18",835000,2010,4000
"6726",4,"FLUSHING-NORTH           ","01  ONE FAMILY DWELLINGS                    ","1",5631,50,NA,"A1","48-44 196TH   STREET                     ","            ",11365,1,0,1,4000,1602,1935,1,"A1","$ 825,000","2015-05-18",825000,1602,4000
"6728",4,"FLUSHING-NORTH           ","01  ONE FAMILY DWELLINGS                    ","1",5632,7,NA,"A0","48-41 196 STREET                         ","            ",11365,1,0,1,4000,1040,1955,1,"A0","$ 680,000","2016-01-05",680000,1040,4000
"6729",4,"FLUSHING-NORTH           ","01  ONE FAMILY DWELLINGS                    ","1",5633,5,NA,"A5","48-15 196TH   PLACE                      ","            ",11365,1,0,1,2000,1160,1955,1,"A5","$ 603,000","2015-12-24",603000,1160,2000
"6732",4,"FLUSHING-NORTH           ","01  ONE FAMILY DWELLINGS                    ","1",5643,3,NA,"A1","50-11 188TH   STREET                     ","            ",11365,1,0,1,4000,1997,1950,1,"A1","$ 1,150,622","2015-08-21",1150622,1997,4000
"6733",4,"FLUSHING-NORTH           ","01  ONE FAMILY DWELLINGS                    ","1",5644,26,NA,"A0","50-28 190TH STREET                       ","            ",11365,1,0,1,4000,1450,1950,1,"A0","$ 730,000","2015-07-27",730000,1450,4000
"6734",4,"FLUSHING-NORTH           ","01  ONE FAMILY DWELLINGS                    ","1",5646,13,NA,"A0","50-16 193 STREET                         ","            ",11365,1,0,1,4000,973,1945,1,"A0","$ 760,000","2015-09-02",760000,973,4000
"6737",4,"FLUSHING-NORTH           ","01  ONE FAMILY DWELLINGS                    ","1",5646,39,NA,"A0","50-27 192ND   STREET                     ","            ",11365,1,0,1,4000,1148,1945,1,"A0","$ 750,000","2015-12-22",750000,1148,4000
"6738",4,"FLUSHING-NORTH           ","01  ONE FAMILY DWELLINGS                    ","1",5648,9,NA,"A2","50-39 194TH   STREET                     ","            ",11365,1,0,1,4000,1902,1930,1,"A2","$ 1,050,000","2016-02-10",1050000,1902,4000
